Sourcetype,Name (transforms.conf),Example Logs,Fields To Extract,REGEX,Description,Status,Authors
synology:general,synology_general_disk_ejected,Sep 18 02:07:25 172.17.0.1 Sep 18 02:07:25 SYN-NAS System administrator: External disk [USB Disk 1 Partition 1] is ejected.,"host_ip, hostname, user, message, disk_name, action",,External HDD/SSD is ejected.,,
synology:general,synology_general_metadata,Sep 18 02:07:20 172.17.0.1 Sep 18 02:07:20 SYN-NAS System SYSTEM: Metadata of shared folder [usbshare1] was deleted.,"host_ip, hostname, message, shared_folder, action",,Metadata of a shared folder is deleted.,,
synology:general,synology_general_user_deleted,Sep 18 00:17:56 172.17.0.1 Sep 18 00:17:56 SYN-NAS System administrator: System successfully deleted User [test].,"host_ip, hostname, user, message, modified_user",,When a user is deleted.,,
synology:general,synology_general_modified-created,Sep 18 00:17:09 172.17.0.1 Sep 18 00:17:09 SYN-NAS System administrator: User [test] was created.,"host_ip, hostname, user, message, modified_user, action",User\s\[(?<modified_user>.+?(?=\]))\]\swas\s(?<action>.+?(?=\.)),When a user is created.,In Progress,Satiex
synology:general,,Sep 17 00:27:39 172.17.0.1 Sep 17 00:27:39 SYN-NAS System administrator: System started counting down to reboot.,"host_ip, hostname, user, message",,When you initiated a system reboot.,,
synology:general,,Sep 17 00:26:23 172.17.0.1 Sep 17 00:26:23 SYN-NAS System administrator: Scheduled Task [Backup Task] was created.,"host_ip, hostname, user, message, task_name, action",,When you created a scheduled task.,,
synology:general,,Sep 16 23:30:42 172.17.0.1 Sep 16 23:30:42 SYN-NAS System administrator: Package [Active Backup for Business] has been successfully uninstalled.,"host_ip, hostname, message, user, package_name",Package\s\[(?<package_name>.+?(?=\]))\]\shas\sbeen\ssuccessfully\s(?<package_status>.+?(?=\.)),When you uninstall a package.,In Progress,Satiex
synology:general,synology_general_recycle,Sep 16 23:26:32 172.17.0.1 Sep 16 23:26:32 SYN-NAS System administrator: Recycle bin of shared folder [Remote_Backup] was disabled.,"message, shared_folder, action",Recycle\sbin\sof\sshared\sfolder\s\[(?<shared_folder>.+?(?=\]))\]\swas\senabled.,Recycle bin of a shared folder was enabled.,In Progress,Satiex
synology:general,synology_general_shared_folder,Sep 16 23:25:38 172.17.0.1 Sep 16 23:25:37 SYN-NAS System administrator: Normal shared folder [Remote_Backup] was created.,"host_ip, hostname, message, shared_folder, action",,When a new Network Shared Folder is created.,,
,,Sep 16 22:41:50 172.17.0.1 Sep 16 22:41:50 SYN-NAS Connection: User [john.smith@ldap.local.com] from [192.168.19.59] failed to sign in to [DSM] via [password] due to authorization failure.,"host_ip, hostname, message, username, src_ip, application, auth_method",,A user logged attempted to log into DSM with a correct username but an incorrect password.,,
synology:file_transfer,synology_file_transfer_rename,"Sep 16 16:56:30 172.17.0.1 Sep 16 16:56:30 SYN-NAS WinFileService Event: rename, Path: /Documents/Jane/Scans to Sort/invoice.pdf -> /Documents/Jane/Scans to Sort/paid_invoice.pdf, File/Folder: File, Size: 943.95 KB, User: jane.smith@ldap.bourneid.com, IP: 192.168.6.8","host_ip, hostname, original_path, new_path, file_folder, file_size, user, src_ip",,A user renamed a file via SMB.,,
synology:general,synology_general_fan_speed,Sep 20 01:36:55 172.17.0.1 Sep 20 01:36:55 Syno_Nas System administrator: Fan speed was set to [quiet].,,,,,
see above,see above,Sep 20 01:36:52 172.17.0.1 Sep 20 01:36:52 Syno_Nas System administrator: Fan speed was set to [full].,see above,see above,see above,see above,see above
see above,see above,Sep 20 01:36:38 172.17.0.1 Sep 20 01:36:38 Syno_Nas System administrator: Fan speed was set to [cool].,see above,see above,see above,see above,see above
synology:general,synology_general_timezone_changed,"Sep 20 01:35:58 172.17.0.1 Sep 20 03:35:58 Bobs-NAS System administrator: Time zone was changed to [(GMT+10:00) Melbourne, Sydney, Canberra].",,,,,
see above,see above,Sep 20 01:35:55 172.17.0.1 Sep 20 01:35:55 Bobs-NAS System administrator: Time zone was changed to [(GMT+12:00) Fiji].,see above,see above,see above,see above,see above
synology:general,synology_general_log_enabled,Sep 20 16:55:55 172.17.0.1 Sep 20 16:55:55 Bobs-NAS System administrator: [Enable SMB Log] was disabled.,,,,,
see above,see above,Sep 20 17:20:26 172.17.0.1 Sep 20 17:20:26 syn-nas-01 System administrator: [Enable AFP Log] was enabled.,see above,see above,see above,see above,see above
see above,see above,Sep 20 17:20:29 172.17.0.1 Sep 20 17:20:29 syn-nas-01 System administrator: [Enable AFP Log] was disabled.,see above,see above,see above,see above,see above
synology:general,synology_general_sftp_port,Sep 20 17:21:26 172.17.0.1 Sep 20 17:21:26 GRV-SYN-NAS System administrator: System successfully changed SFTP port from [22] to [62].,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
